exposure,ratio,ratio_std
2122.449,0.036336412,0.020060012
2285.7145,0.030105205,0.01531206
2367.347,0.027396236,0.009418493
2530.6125,0.034743209,0.021881985
2693.8775,0.031153058,0.013471439
2857.143,0.020710695,0.009691088
2693.8775,0.031153058,0.013471439
2612.245,0.030204098,0.01532954
2122.449,0.036336412,0.020060012
2040.8165,0.031373311,0.006863751
1914.286,0.027662083,0.007227617
1840.816,0.024846637,0.023436862
1742.857,0.03544423,0.004726572
1522.449,0.035782871,0.018611469
1840.816,0.024846637,0.023436862
1938.7755,0.03545332,0.009391729
1840.816,0.024846637,0.023436862
1742.857,0.03544423,0.004726572
1669.388,0.03948547,0.01
1595.918,0.04659028,0.005103707
1522.449,0.035782871,0.018611469
1448.9795,0.035999456,0.014297362
1375.51,0.065206312,0.01
1130.612,0.072309896,0.010161814
1081.633,0.07443406,0.011494917
1130.612,0.072309896,0.010161814
1081.633,0.07443406,0.011494917
1130.612,0.072309896,0.010161814
1204.082,0.049035989,0.012292161
1277.551,0.049306633,0.015785011
1326.531,0.052660925,0.011886416
1400,0.030649243,0.009473683
1497.959,0.046317577,0.010007087
1571.4285,0.040093876,0.014262679
2122.449,0.036336412,0.020060012
2040.8165,0.031373311,0.006863751
1914.286,0.027662083,0.007227617
1816.3265,0.034684354,0.005
1742.857,0.03544423,0.004726572
1644.898,0.032340834,0.005893823
1571.4285,0.040093876,0.014262679
1497.959,0.046317577,0.010007087
1424.49,0.046905499,0.001935177
1351.0205,0.042557876,0.020514694
1302.041,0.047672923,0.019185853
1228.5715,0.070209805,0.006826622
1179.592,0.073122617,0.009748535
1130.612,0.072309896,0.010161814
1081.633,0.07443406,0.011494917
1008.163,0.088346665,0.013527242
1081.633,0.07443406,0.011494917
1130.612,0.072309896,0.010161814
1204.082,0.049035989,0.012292161
1277.551,0.049306633,0.015785011
1326.531,0.052660925,0.011886416
1497.959,0.046317577,0.010007087
1497.959,0.046317577,0.010007087
1595.918,0.04659028,0.005103707
1889.796,0.009439078,0.005
2204.0815,0.029576316,0.011272466
2122.449,0.036336412,0.020060012
2204.0815,0.029576316,0.011272466
2448.9795,0.031608684,0.01004934
2775.5105,0.034699311,0.015221647
3346.9385,0.026431413,0.017769141
3836.7345,0.014810307,0.00955547
4081.6325,0.019187875,0.006507803
3918.3675,0.020277604,0.004840011
3755.102,0.012492568,0.01782802
3510.204,0.02517468,0.02145316
3102.0405,0.026801357,0.00442305
2775.5105,0.034699311,0.015221647
2612.245,0.030204098,0.01532954
2448.9795,0.031608684,0.01004934
2285.7145,0.030105205,0.01531206
2448.9795,0.031608684,0.01004934
2612.245,0.030204098,0.01532954
2693.8775,0.031153058,0.013471439
2857.143,0.020710695,0.009691088
3183.6735,0.017324588,0.012087055
3428.5715,0.006815318,0.01
3673.4695,0.021512251,0.014581042
5306.1225,0.027231368,0.008831804
4979.592,0.011261111,0.004852402
4653.0615,0.022680496,0.009026773
4408.1635,0.028940628,0.01
4000,0.012287313,0.011892561
3673.4695,0.021512251,0.014581042
3346.9385,0.026431413,0.017769141
3183.6735,0.017324588,0.012087055
4897.9595,0.025097544,0.009776389
5306.1225,0.027231368,0.008831804
5306.1225,0.027231368,0.008831804
4979.592,0.011261111,0.004852402
4571.4285,0.013828168,0.010072281
4244.898,0.023451527,0.010275448
3918.3675,0.020277604,0.004840011
3510.204,0.02517468,0.02145316
3265.306,0.023545258,0.019221621
2938.7755,0.026725371,0.012262981
2693.8775,0.031153058,0.013471439
2530.6125,0.034743209,0.021881985
2367.347,0.027396236,0.009418493
2693.8775,0.031153058,0.013471439
3020.408,0.020937025,0.010689772
3265.306,0.023545258,0.019221621
3102.0405,0.026801357,0.00442305
2775.5105,0.034699311,0.015221647
2612.245,0.030204098,0.01532954
2448.9795,0.031608684,0.01004934
2612.245,0.030204098,0.01532954
2775.5105,0.034699311,0.015221647
3020.408,0.020937025,0.010689772
3673.4695,0.021512251,0.014581042
3918.3675,0.020277604,0.004840011
3510.204,0.02517468,0.02145316
3265.306,0.023545258,0.019221621
3102.0405,0.026801357,0.00442305
2857.143,0.020710695,0.009691088
2693.8775,0.031153058,0.013471439
2857.143,0.020710695,0.009691088
3428.5715,0.006815318,0.01
2693.8775,0.031153058,0.013471439
2122.449,0.036336412,0.020060012
2040.8165,0.031373311,0.006863751
1914.286,0.027662083,0.007227617
2040.8165,0.031373311,0.006863751
2122.449,0.036336412,0.020060012
2285.7145,0.030105205,0.01531206
2367.347,0.027396236,0.009418493
2530.6125,0.034743209,0.021881985
4571.4285,0.013828168,0.010072281
4816.3265,0.016009745,0.013439821
4571.4285,0.013828168,0.010072281
4326.5305,0.015895725,0.003645056
4000,0.012287313,0.011892561
3591.8365,0.012372189,0.008587631
3183.6735,0.017324588,0.012087055
2938.7755,0.026725371,0.012262981
2693.8775,0.031153058,0.013471439
3020.408,0.020937025,0.010689772
3346.9385,0.026431413,0.017769141
3591.8365,0.012372189,0.008587631
3346.9385,0.026431413,0.017769141
3673.4695,0.021512251,0.014581042
4000,0.012287313,0.011892561
4244.898,0.023451527,0.010275448
3918.3675,0.020277604,0.004840011
3673.4695,0.021512251,0.014581042
3510.204,0.02517468,0.02145316
3755.102,0.012492568,0.01782802
4081.6325,0.019187875,0.006507803
4571.4285,0.013828168,0.010072281
4897.9595,0.025097544,0.009776389
4653.0615,0.022680496,0.009026773
4408.1635,0.028940628,0.01
3918.3675,0.020277604,0.004840011
4653.0615,0.022680496,0.009026773
5224.4895,0.016970019,0.01
5551.0205,0.004159708,0.01
5061.2245,0.01466805,0.01
4571.4285,0.013828168,0.010072281
4163.2655,0.017572734,0.000427946
3836.7345,0.014810307,0.00955547
3673.4695,0.021512251,0.014581042
3510.204,0.02517468,0.02145316
3346.9385,0.026431413,0.017769141
3510.204,0.02517468,0.02145316
3836.7345,0.014810307,0.00955547
3591.8365,0.012372189,0.008587631
3346.9385,0.026431413,0.017769141
3020.408,0.020937025,0.010689772
2693.8775,0.031153058,0.013471439
2448.9795,0.031608684,0.01004934
2204.0815,0.029576316,0.011272466
2122.449,0.036336412,0.020060012
2285.7145,0.030105205,0.01531206
2612.245,0.030204098,0.01532954
2857.143,0.020710695,0.009691088
2693.8775,0.031153058,0.013471439
2448.9795,0.031608684,0.01004934
2285.7145,0.030105205,0.01531206
2204.0815,0.029576316,0.011272466
2367.347,0.027396236,0.009418493
2448.9795,0.031608684,0.01004934
2612.245,0.030204098,0.01532954
2775.5105,0.034699311,0.015221647
3346.9385,0.026431413,0.017769141
3591.8365,0.012372189,0.008587631
4163.2655,0.017572734,0.000427946
4653.0615,0.022680496,0.009026773
4979.592,0.011261111,0.004852402
4734.694,0.012812573,0.003
4489.796,0.020008396,0.003
4326.5305,0.015895725,0.003645056
4081.6325,0.019187875,0.006507803
3836.7345,0.014810307,0.00955547
3673.4695,0.021512251,0.014581042
3428.5715,0.006815318,0.01
1938.7755,0.03545332,0.009391729
1840.816,0.024846637,0.023436862
2285.7145,0.030105205,0.01531206
1644.898,0.032340834,0.005893823
1742.857,0.03544423,0.004726572
3020.408,0.020937025,0.010689772
2775.5105,0.034699311,0.015221647
2448.9795,0.031608684,0.01004934
2285.7145,0.030105205,0.01531206
2204.0815,0.029576316,0.011272466
2285.7145,0.030105205,0.01531206
2448.9795,0.031608684,0.01004934
1938.7755,0.03545332,0.009391729
1840.816,0.024846637,0.023436862
1938.7755,0.03545332,0.009391729
2040.8165,0.031373311,0.006863751
2204.0815,0.029576316,0.011272466
2693.8775,0.031153058,0.013471439
2938.7755,0.026725371,0.012262981
3265.306,0.023545258,0.019221621
3673.4695,0.021512251,0.014581042
4163.2655,0.017572734,0.000427946
3755.102,0.012492568,0.01782802
3510.204,0.02517468,0.02145316
3102.0405,0.026801357,0.00442305
2857.143,0.020710695,0.009691088
2367.347,0.027396236,0.009418493
2857.143,0.020710695,0.009691088
2693.8775,0.031153058,0.013471439
2530.6125,0.034743209,0.021881985
2367.347,0.027396236,0.009418493
2285.7145,0.030105205,0.01531206
2204.0815,0.029576316,0.011272466
2040.8165,0.031373311,0.006863751
1963.265,0.023731199,0.006
1865.306,0.025153348,0.006
2040.8165,0.031373311,0.006863751
2122.449,0.036336412,0.020060012
2693.8775,0.031153058,0.013471439
2857.143,0.020710695,0.009691088
2693.8775,0.031153058,0.013471439
2693.8775,0.031153058,0.013471439
3183.6735,0.017324588,0.012087055
1791.837,0.039658514,0.01
2204.0815,0.029576316,0.011272466
2122.449,0.036336412,0.020060012
2204.0815,0.029576316,0.011272466
2367.347,0.027396236,0.009418493
2448.9795,0.031608684,0.01004934
2612.245,0.030204098,0.01532954
2530.6125,0.034743209,0.021881985
2367.347,0.027396236,0.009418493
2285.7145,0.030105205,0.01531206
2122.449,0.036336412,0.020060012
2285.7145,0.030105205,0.01531206
2367.347,0.027396236,0.009418493
2530.6125,0.034743209,0.021881985
2693.8775,0.031153058,0.013471439
2857.143,0.020710695,0.009691088
3020.408,0.020937025,0.010689772
3183.6735,0.017324588,0.012087055
3346.9385,0.026431413,0.017769141
1326.531,0.052660925,0.011886416
1277.551,0.049306633,0.015785011
1228.5715,0.070209805,0.006826622
1179.592,0.073122617,0.009748535
1106.1225,0.08036579,0.01
1057.143,0.08655044,0.01
1008.163,0.088346665,0.013527242
959.184,0.102798726,0.01
910.204,0.094063361,0.01
983.6735,0.084716629,0.01
1032.653,0.06042836,0.01
1081.633,0.07443406,0.011494917
1130.612,0.072309896,0.010161814
1204.082,0.049035989,0.012292161
1277.551,0.049306633,0.015785011
1351.0205,0.042557876,0.020514694
1424.49,0.046905499,0.001935177
1522.449,0.035782871,0.018611469
1595.918,0.04659028,0.005103707
1914.286,0.027662083,0.007227617
2122.449,0.036336412,0.020060012
2040.8165,0.031373311,0.006863751
2204.0815,0.029576316,0.011272466
2285.7145,0.030105205,0.01531206
2204.0815,0.029576316,0.011272466
2367.347,0.027396236,0.009418493
2285.7145,0.030105205,0.01531206
2693.8775,0.031153058,0.013471439
2530.6125,0.034743209,0.021881985
2448.9795,0.031608684,0.01004934
2285.7145,0.030105205,0.01531206
2204.0815,0.029576316,0.011272466
2775.5105,0.034699311,0.015221647
3102.0405,0.026801357,0.00442305
3346.9385,0.026431413,0.017769141
2367.347,0.027396236,0.009418493
2775.5105,0.034699311,0.015221647
3020.408,0.020937025,0.010689772
2857.143,0.020710695,0.009691088
2693.8775,0.031153058,0.013471439
2530.6125,0.034743209,0.021881985
2693.8775,0.031153058,0.013471439
2530.6125,0.034743209,0.021881985
2448.9795,0.031608684,0.01004934
2612.245,0.030204098,0.01532954
2775.5105,0.034699311,0.015221647
2612.245,0.030204098,0.01532954
2367.347,0.027396236,0.009418493
2204.0815,0.029576316,0.011272466
2122.449,0.036336412,0.020060012
2285.7145,0.030105205,0.01531206
2530.6125,0.034743209,0.021881985
2775.5105,0.034699311,0.015221647
2857.143,0.020710695,0.009691088
2693.8775,0.031153058,0.013471439
2612.245,0.030204098,0.01532954
2775.5105,0.034699311,0.015221647
2938.7755,0.026725371,0.012262981
2775.5105,0.034699311,0.015221647
2530.6125,0.034743209,0.021881985
2448.9795,0.031608684,0.01004934
2612.245,0.030204098,0.01532954
2775.5105,0.034699311,0.015221647
2938.7755,0.026725371,0.012262981
2775.5105,0.034699311,0.015221647
2612.245,0.030204098,0.01532954
2530.6125,0.034743209,0.021881985
2775.5105,0.034699311,0.015221647
3020.408,0.020937025,0.010689772
2857.143,0.020710695,0.009691088
2693.8775,0.031153058,0.013471439
2693.8775,0.031153058,0.013471439
2530.6125,0.034743209,0.021881985
2775.5105,0.034699311,0.015221647
2693.8775,0.031153058,0.013471439
2530.6125,0.034743209,0.021881985
2367.347,0.027396236,0.009418493
2612.245,0.030204098,0.01532954
2448.9795,0.031608684,0.01004934
2285.7145,0.030105205,0.01531206
2204.0815,0.029576316,0.011272466
2122.449,0.036336412,0.020060012
2040.8165,0.031373311,0.006863751
1914.286,0.027662083,0.007227617
2040.8165,0.031373311,0.006863751
2204.0815,0.029576316,0.011272466
2285.7145,0.030105205,0.01531206
2204.0815,0.029576316,0.011272466
2285.7145,0.030105205,0.01531206
3020.408,0.020937025,0.010689772
2612.245,0.030204098,0.01532954
2367.347,0.027396236,0.009418493
1302.041,0.047672923,0.019185853
1448.9795,0.035999456,0.014297362
1669.388,0.03948547,0.01
1865.306,0.025153348,0.01
2040.8165,0.031373311,0.006863751
2204.0815,0.029576316,0.011272466
1302.041,0.047672923,0.019185853
1914.286,0.027662083,0.007227617
2040.8165,0.031373311,0.006863751
1400,0.030649243,0.009473683
1448.9795,0.035999456,0.014297362
1938.7755,0.03545332,0.009391729
2530.6125,0.034743209,0.021881985
2204.0815,0.029576316,0.011272466
2040.8165,0.031373311,0.006863751
1644.898,0.032340834,0.005893823
1840.816,0.024846637,0.023436862
1448.9795,0.035999456,0.014297362
1497.959,0.046317577,0.010007087
1351.0205,0.042557876,0.020514694
1351.0205,0.042557876,0.020514694
1204.082,0.049035989,0.012292161
1277.551,0.049306633,0.015785011
1326.531,0.052660925,0.011886416
1644.898,0.032340834,0.005893823
1277.551,0.049306633,0.015785011
1742.857,0.03544423,0.004726572
1277.551,0.049306633,0.015785011
1644.898,0.032340834,0.005893823
1938.7755,0.03545332,0.009391729
1448.9795,0.035999456,0.014297362
2204.0815,0.029576316,0.011272466
1889.796,0.009439078,0.01
1400,0.030649243,0.009473683
3428.5715,0.006815318,0.01
3183.6735,0.017324588,0.012087055
3591.8365,0.012372189,0.008587631
3346.9385,0.026431413,0.017769141
2938.7755,0.026725371,0.012262981
2204.0815,0.029576316,0.011272466
1742.857,0.03544423,0.004726572
8000,0.005765381,0.000314804
4816.3265,0.016009745,0.013439821
2612.245,0.030204098,0.01532954
